"","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100"
"381",0.0016,0.002,0.002,0.002,0.0024,0.003,0.0044,0.0046,0.0072,0.0076,0.0076,0.0078,0.01,0.0104,0.0104,0.0116,0.0148
"439",2e-04,6e-04,0.0024,0.0032,0.004,0.005,0.0058,0.0062,0.0072,0.0082,0.0094,0.0104,0.0104,0.0124,0.013,0.0138,0.0182
"460",0,0,0,0,2e-04,0.001,0.0014,0.0014,0.0018,0.0022,0.0024,0.0036,0.0036,0.0036,0.0044,0.005,0.006
"480",0,0,0,0,2e-04,2e-04,4e-04,6e-04,6e-04,6e-04,8e-04,0.0012,0.0014,0.0018,0.0018,0.0024,0.0038
"540",0,0,0,8e-04,0.0012,0.0012,0.0014,0.002,0.0036,0.0036,0.0036,0.0042,0.0048,0.0098,0.012,0.0134,0.0162
"620",0,0,0,0,0,2e-04,4e-04,8e-04,0.0012,0.0018,0.0022,0.0026,0.0028,0.0044,0.005,0.0086,0.014
"640",0,2e-04,2e-04,4e-04,0.0012,0.0012,0.0012,0.0014,0.0016,0.0016,0.002,0.002,0.0024,0.0036,0.005,0.005,0.0134
"740",0,0,0,0,2e-04,2e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,0.001,0.0014,0.0018,0.0028
"760",0,2e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,8e-04,0.0022,0.004,0.0054,0.0104,0.0132,0.0132,0.0142,0.018
"780",0.0038,0.005,0.0058,0.0066,0.0076,0.0076,0.0076,0.0076,0.0112,0.0134,0.0144,0.0156,0.017,0.0188,0.0208,0.0338,0.0356
"800",6e-04,8e-04,0.001,0.001,0.0012,0.0024,0.0034,0.0042,0.0058,0.0066,0.0068,0.008,0.0088,0.0088,0.0094,0.0128,0.0162
"841",0,0,0,0,4e-04,4e-04,4e-04,4e-04,0.0012,0.0014,0.0014,0.0022,0.0022,0.0022,0.0022,0.0028,0.0034
"901",2e-04,2e-04,2e-04,2e-04,6e-04,8e-04,8e-04,0.0012,0.0012,0.0014,0.0016,0.0016,0.002,0.002,0.0026,0.003,0.0042
"919",0,2e-04,6e-04,0.001,0.0018,0.0024,0.0028,0.0032,0.0034,0.0034,0.0034,0.0042,0.0042,0.0042,0.0072,0.01,0.013
"941",0.0036,0.0052,0.0054,0.0094,0.0146,0.015,0.0178,0.0194,0.0198,0.021,0.023,0.0244,0.025,0.0316,0.0346,0.0376,0.045
"960",8e-04,0.001,0.004,0.004,0.005,0.0062,0.0062,0.0062,0.0062,0.0072,0.0072,0.008,0.0108,0.0112,0.0124,0.0166,0.0194
"980",0,2e-04,2e-04,2e-04,4e-04,8e-04,0.0012,0.002,0.0026,0.0032,0.0038,0.0038,0.0046,0.007,0.0074,0.0078,0.0106
