lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
130,4229,45696,0,NA,2018,above,shrub,264.2890015,7.1601801,733,0.0005387,0.0020209,0.185715,379035,3415,261161.5015,3889401.45,-119.620867,35.119166,m,24.83,101,intact,210,30,c(807964.609808965, 3891486.17217194)
z,42291,45696,0,NA,2016,below,open,264.2890015,7.1601801,733,0.0005387,0.0020209,0.185715,379035,3415,261161.5015,3889401.45,-119.620867,35.119166,f,24,102,NA,NA,NA,c(807964.609808965, 3891486.17217194)
16,8268,58645,0,NA,2018,below,shrub,320.1940002,5.5760102,745,0,0.0273636,0.245614,377065,4568,261181.5015,3890181.45,-119.620873,35.126197,f,27.52,103,intact,202,22,c(807937.559076278, 3892266.34232958)
20,2779,46028,1,2380,2018,below,open,266.6340027,6.0753298,733,0.0008429,0.0018018,0.195362,379543,2418,261161.5015,3889421.45,-119.620873,35.119346,f,33.69,108,intact,192,11,c(807963.384309333, 3891506.12712467)
j,724,34075,0,NA,2016,above,shrub,296.5650024,1.60105,721,0.0001066,0.0014852,0.245597,380363,3342,261141.5015,3888701.45,-119.620884,35.112855,f,23,92,NA,NA,NA,c(807986.845451918, 3890785.82545833)
130,2917,46692,1,2015,2018,above,open,285.2550049,4.0760598,732,0.0012662,0.0033826,0.20228,379575,7458,261161.5015,3889461.45,-119.620885,35.119706,m,24.83,101,intact,210,30,c(807960.933308196, 3891546.03703116)
130,2990,47024,1,2923,2018,above,open,270,2.1475899,732,0.0013091,0.0742548,0.217159,380795,892,261161.5015,3889481.45,-119.62089,35.119886,m,24.83,101,intact,210,30,c(807959.798979028, 3891565.99508188)
ab,4799,47356,0,NA,2016,above,shrub,251.5650024,1.13226,732,0.0012172,0.0850323,0.232762,381088,108,261161.5015,3889501.45,-119.620896,35.120066,f,29,100,NA,NA,NA,c(807958.573476697, 3891585.95003597)
k,9131,34739,0,NA,2016,below,shrub,281.3099976,1.82533,720,0.0014147,0.0299829,0.237989,380438,2624,261141.5015,3888741.45,-119.620896,35.113216,m,29,104,NA,NA,NA,c(807984.390818924, 3890825.84630385)
12B,1004,35071,0,NA,2018,above,shrub,270,2.8624101,720,0.0025,0.0408186,0.227298,380408,4693,261141.5015,3888761.45,-119.620902,35.113396,m,28.76,94,intact,183,16,c(807983.165385796, 3890845.80124511)
