lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
80,3371,43095,0,NA,2018,above,shrub,335.1359863,15.7712002,788,7.70E-05,0.14195,0.24401,361332,4455,262261.5015,3889241.45,-119.608762,35.117985,f,31.75,106,intact,186,4,c(809072.730454693, 3891392.67921431)
d,3270,42762,0,NA,2016,above,shrub,329.743988,19.1527004,791,4.30E-05,0.0966594,0.237844,354584,5318,262241.5015,3889221.45,-119.608975,35.1178,m,24,89,NA,NA,NA,c(809054.009958708, 3891371.48878207)
12,3477,43426,0,NA,2018,above,shrub,315,11.4912004,781,6.30E-05,0.0688519,0.239907,370728,1153,262241.5015,3889261.45,-119.608987,35.11816,m,22.65,93,intact,196,15,c(809051.554189982, 3891411.39871792)
919,3369,43093,0,NA,2017,above,shrub,322.125,15.9098997,781,3.27E-05,0.0764154,0.244277,362011,764,262221.5015,3889241.45,-119.6092,35.117975,m,43,101,tail whole,NA,NA,c(809032.833693714, 3891390.20832955)
23,3475,43424,0,NA,2018,above,shrub,311.4240112,8.06497,775,1.17E-05,0.0458084,0.241197,375468,3867,262201.5015,3889261.45,-119.609425,35.118151,f,14.2,108,intact,191,21,c(809011.653733668, 3891409.0388854)
540,3577,43756,0,NA,2017,above,shrub,293.1990051,5.4380102,774,9.10E-06,0.04136,0.230225,379143,839,262201.5015,3889281.45,-119.609431,35.118331,NA,NA,NA,NA,NA,NA,c(809010.425936781, 3891428.99385316)
30,3793,44420,0,NA,2018,above,shrub,292.3800049,6.5548201,774,0,0.058028,0.232161,378565,886,262201.5015,3889321.45,-119.609443,35.118691,m,33.79,103,intact,212,7,c(809007.970341102, 3891468.90378968)
n,3474,43423,0,NA,2016,above,shrub,309.8059998,5.5760102,774,0,0.0401285,0.24012,378260,7363,262181.5015,3889261.45,-119.609645,35.118146,f,29,97,NA,NA,NA,c(808991.614220703, 3891407.80044592)
44,31591,42426,0,NA,2018,below,open,310.9140015,13.9347,780,0,0.0840518,0.233413,367587,5339,262161.5015,3889201.45,-119.609847,35.117601,m,32.7,98,kinked,176,6,c(808975.25782715, 3891346.69715181)
960,3366,43090,0,NA,2017,above,shrub,311.6340027,8.5599003,774,0,0.028212,0.243634,375207,21,262161.5015,3889241.45,-119.609858,35.117961,m,46.5,110,tail tipped,NA,NA,c(808972.893589078, 3891386.61019134)
99,33661,43090,0,NA,2018,below,open,311.6340027,8.5599003,774,0,0.028212,0.243634,375207,21,262161.5015,3889241.45,-119.609858,35.117961,f,22.79,92,intact,178,3,c(808972.893589078, 3891386.61019134)
99,3791,44418,0,NA,2018,above,shrub,327.5289917,4.65874,771,0,0.0179753,0.232242,378538,2607,262161.5015,3889321.45,-119.609881,35.118682,f,22.79,92,intact,178,3,c(808968.070147385, 3891466.5441319)
l,25541,40433,0,NA,2016,below,open,255.651001,15.5042,774,0,0.0668482,0.221338,372683,5522,262141.5015,3889081.45,-119.610031,35.116515,uk,NA,NA,NA,NA,NA,c(808962.587917192, 3891225.6180507)
12,2950,41761,0,NA,2018,above,shrub,259.8240051,13.9091997,777,0,0.0228927,0.222885,374368,8993,262141.5015,3889161.45,-119.610054,35.117236,m,22.65,93,intact,196,15,c(808957.764676279, 3891305.55197892)
1337,30541,42093,0,NA,2018,below,open,276.3399963,12.7559004,778,0,0.0579532,0.225941,373850,7420,262141.5015,3889181.45,-119.61006,35.117416,m,41.79,107,intact,202,29,c(808956.537015626, 3891325.50694398)
7,305411,42093,0,NA,2018,below,open,276.3399963,12.7559004,778,0,0.0579532,0.225941,373850,7420,262141.5015,3889181.45,-119.61006,35.117416,NA,NA,NA,NA,NA,NA,c(808956.537015626, 3891325.50694398)
d,3472,43421,0,NA,2016,above,shrub,275.1940002,7.86096,770,0,0.053731,0.231609,378668,6926,262141.5015,3889261.45,-119.610083,35.118137,m,24,89,NA,NA,NA,c(808951.713760111, 3891405.44087894)
o,3574,43753,0,NA,2016,above,shrub,257.4710083,6.5740099,771,0,0.0153739,0.232958,380930,6441,262141.5015,3889281.45,-119.610089,35.118317,m,39.5,106,NA,NA,NA,c(808950.486096074, 3891425.39584569)
176,3790,44417,0,NA,2018,above,shrub,309.8059998,5.5760102,770,0,0.0246227,0.23093,378387,2455,262141.5015,3889321.45,-119.6101,35.118677,NA,NA,NA,NA,NA,NA,c(808948.121940133, 3891465.30888704)
1337,4155,45413,0,NA,2018,above,shrub,111.8010025,3.8510301,767,0,0.0964805,0.213751,380993,1499,262141.5015,3889381.45,-119.610118,35.119218,m,41.79,107,intact,202,29,c(808944.435158542, 3891525.28475581)
z,26551,40764,0,NA,2016,below,open,263.9909973,13.4314003,770,0,0.0411552,0.234681,374191,1750,262121.5015,3889101.45,-119.610256,35.116691,f,24,102,NA,NA,NA,c(808941.407783354, 3891244.44878256)
39,2949,41760,0,NA,2018,above,shrub,258.0239868,11.9057999,772,0,0.0475705,0.233772,376803,3874,262121.5015,3889161.45,-119.610274,35.117231,f,32.24,102,dropped,196,28,c(808937.724938462, 3891304.31367473)
p,29491,41760,0,NA,2016,below,open,258.0239868,11.9057999,772,0,0.0475705,0.233772,376803,3874,262121.5015,3889161.45,-119.610274,35.117231,f,41.5,104,NA,NA,NA,c(808937.724938462, 3891304.31367473)
n,4030,45080,0,NA,2016,above,shrub,191.3099976,1.82533,767,0,0.103422,0.208784,382341,7828,262121.5015,3889361.45,-119.610331,35.119033,f,29,97,NA,NA,NA,c(808925.714706478, 3891504.09458605)
130,4154,45412,0,NA,2018,above,shrub,146.3099976,5.15065,768,0,0.0684846,0.216451,382317,7659,262121.5015,3889381.45,-119.610337,35.119213,m,24.83,101,intact,210,30,c(808924.487083278, 3891524.04955414)
30,4277,45744,0,NA,2018,above,shrub,149.7440033,9.85149,770,0,0.031166,0.220578,381017,8011,262121.5015,3889401.45,-119.610343,35.119393,m,33.79,103,intact,212,7,c(808923.259459444, 3891544.00452257)
ab,4399,46076,0,NA,2016,above,shrub,151.9279938,11.9968996,774,0,0.0407571,0.213364,380019,8687,262121.5015,3889421.45,-119.610348,35.119573,f,29,100,NA,NA,NA,c(808922.123008, 3891563.96259799)
o,2449,40099,0,NA,2016,above,shrub,243.4349976,9.5201998,765,0,0.0293363,0.229413,380242,3025,262101.5015,3889061.45,-119.610464,35.116326,m,39.5,106,NA,NA,NA,c(808923.823049282, 3891203.30059822)
s,2654,40763,0,NA,2016,above,shrub,273.5759888,11.3313999,766,0,0.0528073,0.243575,375454,382,262101.5015,3889101.45,-119.610476,35.116686,f,29.5,96,NA,NA,NA,c(808921.367911362, 3891243.21052398)
760,30521,42091,0,NA,2017,below,open,273.1799927,12.6992998,769,0,0.0316842,0.23418,374019,4708,262101.5015,3889181.45,-119.610499,35.117406,m,40,111,tail tipped,NA,NA,c(808916.548803363, 3891323.03348597)
m,3363,43087,0,NA,2016,above,shrub,299.7449951,11.3957005,764,0,0.0368855,0.23098,372175,5332,262101.5015,3889241.45,-119.610516,35.117947,m,NA,103,NA,NA,NA,c(808912.953477661, 3891383.01245207)
12B,3572,43751,0,NA,2018,above,shrub,256.4299927,10.5618,762,0,0.0304515,0.232183,377213,2843,262101.5015,3889281.45,-119.610527,35.118307,m,28.76,94,intact,183,16,c(808910.589501936, 3891422.92549032)
26,3906,44747,0,NA,2018,above,shrub,219.2890015,5.07621,765,0,0.118516,0.190127,382605,162,262101.5015,3889341.45,-119.610545,35.118848,m,37.34,105,intact,210,26,c(808906.902990589, 3891482.90135504)
7,39061,44747,0,NA,2018,below,open,219.2890015,5.07621,765,0,0.118516,0.190127,382605,162,262101.5015,3889341.45,-119.610545,35.118848,NA,NA,NA,NA,NA,NA,c(808906.902990589, 3891482.90135504)
30,4276,45743,0,NA,2018,above,shrub,151.6990051,10.4568996,772,0,0.0389185,0.200169,381073,5413,262101.5015,3889401.45,-119.610562,35.119388,m,33.79,103,intact,212,7,c(808903.31142748, 3891542.76936475)
ac,4398,46075,0,NA,2016,above,shrub,156.8009949,10.7798004,776,0,0.045092,0.195616,381480,9334,262101.5015,3889421.45,-119.610568,35.119568,f,25,96,NA,NA,NA,c(808902.083847233, 3891562.72433318)
44,4518,46407,0,NA,2018,above,shrub,162.7590027,10.7456999,779,0,0.0393079,0.188261,381966,3529,262101.5015,3889441.45,-119.610573,35.119749,m,32.7,98,kinked,176,6,c(808900.943658369, 3891582.79337289)
ac,45181,46407,0,NA,2016,below,open,162.7590027,10.7456999,779,0,0.0393079,0.188261,381966,3529,262101.5015,3889441.45,-119.610573,35.119749,f,25,96,NA,NA,NA,c(808900.943658369, 3891582.79337289)
4,2168,39102,0,NA,2018,above,shrub,231.7100067,8.6034002,756,0,0.0617792,0.224313,381271,8046,262081.5015,3889001.45,-119.610666,35.11578,f,30.43,105,intact tipped,193,14,c(808907.469436724, 3891142.08653538)
p,3051,42090,0,NA,2016,above,shrub,270,11.3099003,764,0,0.0044701,0.22888,375833,8805,262081.5015,3889181.45,-119.610718,35.117402,f,41.5,104,NA,NA,NA,c(808896.596503159, 3891321.90934113)
740,3362,43086,0,NA,2017,above,shrub,302.0050049,6.7255301,761,0,0.0275715,0.229861,377475,8498,262081.5015,3889241.45,-119.610735,35.117942,NA,NA,NA,NA,NA,NA,c(808893.005090777, 3891381.77734156)
31,4152,45410,0,NA,2018,above,shrub,158.6289978,8.7751198,771,0,0.0271784,0.17016,382398,4705,262081.5015,3889381.45,-119.610775,35.119203,m,32.73,101,regen,82,5,c(808884.590929991, 3891521.57928339)
4,41521,45410,0,NA,2018,below,open,158.6289978,8.7751198,771,0,0.0271784,0.17016,382398,4705,262081.5015,3889381.45,-119.610775,35.119203,f,30.43,105,intact tipped,193,14,c(808884.590929991, 3891521.57928339)
64,41522,45410,0,NA,2018,below,open,158.6289978,8.7751198,771,0,0.0271784,0.17016,382398,4705,262081.5015,3889381.45,-119.610775,35.119203,m,32.48,104,intact,190,8,c(808884.590929991, 3891521.57928339)
o,4630,46738,0,NA,2016,above,shrub,186.3399963,9.6362696,784,0,0.0272765,0.176284,383487,6981,262081.5015,3889461.45,-119.610798,35.119924,m,39.5,106,NA,NA,NA,c(808879.768176666, 3891601.51322716)
919,2084,38769,0,NA,2017,above,shrub,233.1300049,7.12502,752,0,0.018466,0.234249,381719,8909,262061.5015,3888981.45,-119.61088,35.115595,m,43,101,tail whole,NA,NA,c(808888.656817818, 3891120.89340701)
47,22591,39433,0,NA,2018,below,open,228.0130005,9.5461302,755,0,0.060091,0.218571,381005,3718,262061.5015,3889021.45,-119.610891,35.115956,NA,NA,NA,NA,NA,NA,c(808886.289259637, 3891160.91739918)
35,2350,39765,0,NA,2018,above,shrub,234.4620056,9.1625299,758,0,0.0320164,0.217265,380940,8842,262061.5015,3889041.45,-119.610897,35.116136,NA,NA,NA,NA,NA,NA,c(808885.0617809, 3891180.87236055)
35,2745,41093,0,NA,2018,above,shrub,270,5.0006399,758,0,0.01801,0.247809,380324,4370,262061.5015,3889121.45,-119.61092,35.116857,NA,NA,NA,NA,NA,NA,c(808880.239255518, 3891260.80627985)
99,30501,42089,0,NA,2018,below,open,254.0549927,5.1996698,761,0,0.0043726,0.228345,381495,9513,262061.5015,3889181.45,-119.610937,35.117397,f,22.79,92,intact,178,3,c(808876.647982702, 3891320.67427603)
130,3261,42753,0,NA,2018,above,shrub,305.5379944,3.0775199,760,0,0.0213627,0.22727,380145,5457,262061.5015,3889221.45,-119.610949,35.117757,m,24.83,101,intact,210,30,c(808874.193013625, 3891360.58420448)
25,2549,40428,0,NA,2018,above,shrub,261.0270081,6.8552599,756,0,0.0354733,0.23686,380192,86,262041.5015,3889081.45,-119.611128,35.116492,m,35.5,105,intact,195,20,c(808862.65429894, 3891219.65822991)
u,2844,41424,0,NA,2016,above,shrub,225,4.5482702,758,0,0.0058414,0.239574,382608,5382,262041.5015,3889141.45,-119.611145,35.117032,m,26,82,NA,NA,NA,c(808859.063163588, 3891279.52622286)
20,3153,42420,0,NA,2018,above,shrub,315,0.506415,761,0,0.0092687,0.230315,381629,1825,262041.5015,3889201.45,-119.611162,35.117572,f,33.69,108,intact,192,11,c(808855.472021322, 3891339.39421885)
12,3260,42752,0,NA,2018,above,shrub,348.6900024,1.82533,760,0,0.019919,0.230812,380405,2128,262041.5015,3889221.45,-119.611168,35.117753,m,22.65,93,intact,196,15,c(808854.240800737, 3891359.46014734)
64,32601,42752,0,NA,2018,below,open,348.6900024,1.82533,760,0,0.019919,0.230812,380405,2128,262041.5015,3889221.45,-119.611168,35.117753,m,32.48,104,intact,190,8,c(808854.240800737, 3891359.46014734)
i,3360,43084,0,NA,2016,above,shrub,329.0360107,2.0871301,760,0,0.0209902,0.231198,380470,1591,262041.5015,3889241.45,-119.611174,35.117933,f,23.5,93,NA,NA,NA,c(808853.013359457, 3891379.41511174)
12,3467,43416,0,NA,2018,above,shrub,315,1.51893,759,0,0.0308474,0.228868,380820,4858,262041.5015,3889261.45,-119.611179,35.118113,m,22.65,93,intact,196,15,c(808851.877092174, 3891399.3731823)
n,3672,44080,0,NA,2016,above,shrub,180,2.8624101,759,0,0.106102,0.19853,382502,8679,262041.5015,3889301.45,-119.611191,35.118473,f,29,97,NA,NA,NA,c(808849.422206044, 3891439.28311277)
i,1689,37439,0,NA,2016,above,shrub,248.9620056,4.9751902,744,0,0.0006791,0.245533,381091,2827,262021.5015,3888901.45,-119.611295,35.114865,f,23.5,93,NA,NA,NA,c(808853.577259522, 3891038.60047504)
c,21651,39099,0,NA,2016,below,open,219.2890015,5.07621,750,0,0.0019187,0.233115,382591,6152,262021.5015,3889001.45,-119.611324,35.115766,m,42.5,107,NA,NA,NA,c(808847.527720412, 3891138.4893418)
n,216511,39099,0,NA,2016,below,open,219.2890015,5.07621,750,0,0.0019187,0.233115,382591,6152,262021.5015,3889001.45,-119.611324,35.115766,f,29,97,NA,NA,NA,c(808847.527720412, 3891138.4893418)
44,22571,39431,0,NA,2018,below,open,225,6.0545001,752,0,0.0138647,0.23127,382410,928,262021.5015,3889021.45,-119.61133,35.115946,m,32.7,98,kinked,176,6,c(808846.300330943, 3891158.44430216)
22,2445,40095,0,NA,2018,above,shrub,255.9640045,5.8851299,754,0,0.0064489,0.231257,381003,9754,262021.5015,3889061.45,-119.611341,35.116307,f,28.94,97,intact,190,27,c(808843.932947138, 3891198.46829392)
o,2743,41091,0,NA,2016,above,shrub,231.3399963,4.5761399,755,0,0.0345008,0.235001,382287,1134,262021.5015,3889121.45,-119.611358,35.116847,m,39.5,106,NA,NA,NA,c(808840.34194654, 3891258.33628465)
9,3359,43083,0,NA,2018,above,shrub,315,3.5404799,759,0,0.0320384,0.230978,379703,2014,262021.5015,3889241.45,-119.611393,35.117928,f,26.85,94,intact,196,2,c(808833.064970063, 3891378.18013401)
r,3466,43415,0,NA,2016,above,shrub,278.1300049,2.5304899,758,0,0.0399053,0.223637,381164,4095,262021.5015,3889261.45,-119.611399,35.118108,f,25,89,NA,NA,NA,c(808831.837572369, 3891398.1350984)
23,3784,44411,0,NA,2018,above,shrub,182.7259979,7.4857101,761,0,0.0437375,0.189619,383059,3697,262021.5015,3889321.45,-119.611416,35.118649,f,14.2,108,intact,191,21,c(808828.242769755, 3891458.11406368)
740,37841,44411,0,NA,2017,below,open,182.7259979,7.4857101,761,0,0.0437375,0.189619,383059,3697,262021.5015,3889321.45,-119.611416,35.118649,NA,NA,NA,NA,NA,NA,c(808828.242769755, 3891458.11406368)
39,3902,44743,0,NA,2018,above,shrub,186.3399963,9.6362696,765,0,0.0293419,0.197057,382665,6153,262021.5015,3889341.45,-119.611422,35.118829,f,32.24,102,dropped,196,28,c(808827.015369316, 3891478.06902941)
d,39021,44743,0,NA,2016,below,open,186.3399963,9.6362696,765,0,0.0293419,0.197057,382665,6153,262021.5015,3889341.45,-119.611422,35.118829,m,24,89,NA,NA,NA,c(808827.015369316, 3891478.06902941)
j,4272,45739,0,NA,2016,above,shrub,248.1990051,7.6675801,772,0,0.0410468,0.203005,381329,3294,262021.5015,3889401.45,-119.611439,35.119369,f,23,92,NA,NA,NA,c(808823.424337419, 3891537.93703429)
4,4394,46071,0,NA,2018,above,shrub,251.5650024,10.0861998,773,0,0.0325614,0.208715,379425,1639,262021.5015,3889421.45,-119.611445,35.119549,f,30.43,105,intact tipped,193,14,c(808822.196934245, 3891557.89200137)
i,1593,37106,0,NA,2016,above,shrub,248.1990051,3.8510301,742,0,0.0006649,0.245531,381312,9651,262001.5015,3888881.45,-119.611509,35.11468,f,23.5,93,NA,NA,NA,c(808834.764279559, 3891017.40748466)
460,18871,38102,0,NA,2017,below,open,195.2550049,4.0760598,747,0,0,0.239843,382918,4012,262001.5015,3888941.45,-119.611526,35.115221,m,37,94,"tail whole, scratches on back",NA,NA,c(808831.169653096, 3891077.38642947)
19,23471,39762,0,NA,2018,below,open,236.3099976,5.15065,751,0,0.0005176,0.229371,382088,5714,262001.5015,3889041.45,-119.611555,35.116122,m,36.65,105,tipped,207,13,c(808825.1203285, 3891177.27529772)
26,2547,40426,0,NA,2018,above,shrub,251.5650024,4.5202298,752,0,0.0059868,0.233246,381542,5136,262001.5015,3889081.45,-119.611566,35.116482,m,37.34,105,intact,210,26,c(808822.756811256, 3891217.18832486)
540,2842,41422,0,NA,2017,above,shrub,217.875,4.0760598,756,0,0.0335515,0.233473,382900,5597,262001.5015,3889141.45,-119.611583,35.117023,NA,NA,NA,NA,NA,NA,c(808819.162161793, 3891277.16727981)
12,2943,41754,0,NA,2018,above,shrub,219.2890015,5.07621,757,0,0.0252363,0.237275,382869,7296,262001.5015,3889161.45,-119.611589,35.117203,m,22.65,93,intact,196,15,c(808817.934811685, 3891297.12224219)
941,3258,42750,0,NA,2017,above,shrub,309.2890015,5.07621,759,0,0.0224162,0.233155,378741,8084,262001.5015,3889221.45,-119.611606,35.117743,m,44,106,tail tipped,NA,NA,c(808814.343932593, 3891356.99023676)
ac,3567,43746,0,NA,2016,above,shrub,218.6600037,4.5761399,758,0,0.096491,0.210282,382761,8276,262001.5015,3889281.45,-119.611624,35.118284,f,25,96,NA,NA,NA,c(808810.658092678, 3891416.96609336)
200,4393,46070,0,NA,2018,above,shrub,261.8699951,10.0249996,769,0,0.0260076,0.229892,378297,3231,262001.5015,3889421.45,-119.611664,35.119545,m,32.86,103,intact,213,10,c(808802.245162591, 3891556.76802885)
u,43931,46070,0,NA,2016,below,open,261.8699951,10.0249996,769,0,0.0260076,0.229892,378297,3231,262001.5015,3889421.45,-119.611664,35.119545,m,26,82,NA,NA,NA,c(808802.245162591, 3891556.76802885)
47,4626,46734,0,NA,2018,above,shrub,268.3630066,12.3439999,770,0,0.0206445,0.229911,375029,445,262001.5015,3889461.45,-119.611675,35.119905,NA,NA,NA,NA,NA,NA,c(808799.881615378, 3891596.68106881)
80,14971,36773,0,NA,2018,below,shrub,203.1990051,2.7251401,740,0,0.0002808,0.251997,382050,9348,261981.5015,3888861.45,-119.611722,35.114496,f,31.75,106,intact,186,4,c(808816.038608856, 3890996.32860946)
64,16871,37437,0,NA,2018,below,open,185.1940002,3.94906,743,0,0,0.245599,382716,1469,261981.5015,3888901.45,-119.611734,35.114856,m,32.48,104,intact,190,8,c(808813.584015824, 3891036.23852446)
7,168711,37437,0,NA,2018,below,open,185.1940002,3.94906,743,0,0,0.245599,382716,1469,261981.5015,3888901.45,-119.611734,35.114856,NA,NA,NA,NA,NA,NA,c(808813.584015824, 3891036.23852446)
p,17871,37769,0,NA,2016,below,open,198.4349976,4.5202298,745,0,0.0002748,0.241051,382913,7556,261981.5015,3888921.45,-119.611739,35.115036,f,41.5,104,NA,NA,NA,c(808812.447896418, 3891056.19658767)
v,18861,38101,0,NA,2016,below,open,217.875,4.0760598,746,0,0.0001241,0.240134,382592,832,261981.5015,3888941.45,-119.611745,35.115216,m,33.5,93,NA,NA,NA,c(808811.220598117, 3891076.15154601)
439,2080,38765,0,NA,2017,above,shrub,225,2.5304899,748,0,0.0005834,0.238446,382306,2814,261981.5015,3888981.45,-119.611757,35.115577,f,32,89,tail tipped?,NA,NA,c(808808.762220532, 3891116.17242809)
20,2255,39429,0,NA,2018,above,shrub,225,3.5404799,749,0,0.0036978,0.232514,382446,841,261981.5015,3889021.45,-119.611768,35.115937,f,33.69,108,intact,192,11,c(808806.398796526, 3891156.08545234)
20,24431,40093,0,NA,2018,below,open,243.4349976,3.1996,751,0,0,0.232264,382061,3715,261981.5015,3889061.45,-119.61178,35.116297,f,33.69,108,intact,192,11,c(808803.944192536, 3891195.99537272)
9,244311,40093,0,NA,2018,below,open,243.4349976,3.1996,751,0,0,0.232264,382061,3715,261981.5015,3889061.45,-119.61178,35.116297,f,26.85,94,intact,196,2,c(808803.944192536, 3891195.99537272)
841,3464,43413,0,NA,2017,above,shrub,245.5559998,4.3187199,755,0,0.0883477,0.208383,381592,8763,261981.5015,3889261.45,-119.611837,35.118099,f,42,109,"tail tipped, one egg",NA,NA,c(808791.937100029, 3891395.77623929)
31,3566,43745,0,NA,2018,above,shrub,198.4349976,5.6437101,757,0,0.0697552,0.218126,383090,6725,261981.5015,3889281.45,-119.611843,35.118279,m,32.73,101,regen,82,5,c(808790.70979013, 3891415.73120335)
35,4023,45073,0,NA,2018,above,shrub,241.3899994,8.9016104,765,0,0.0129514,0.235445,380864,7851,261981.5015,3889361.45,-119.611866,35.119,NA,NA,NA,NA,NA,NA,c(808785.887938536, 3891495.66513261)
2,4512,46401,0,NA,2018,above,shrub,267.8789978,9.5848703,766,0,0.0115919,0.231192,377947,8579,261981.5015,3889441.45,-119.611889,35.11972,NA,NA,NA,NA,NA,NA,c(808781.06985445, 3891575.48810283)
39,45121,46401,0,NA,2018,below,open,267.8789978,9.5848703,766,0,0.0115919,0.231192,377947,8579,261981.5015,3889441.45,-119.611889,35.11972,f,32.24,102,dropped,196,28,c(808781.06985445, 3891575.48810283)
ac,45122,46401,0,NA,2016,below,open,267.8789978,9.5848703,766,0,0.0115919,0.231192,377947,8579,261981.5015,3889441.45,-119.611889,35.11972,f,25,96,NA,NA,NA,c(808781.06985445, 3891575.48810283)
v,45123,46401,0,NA,2016,below,open,267.8789978,9.5848703,766,0,0.0115919,0.231192,377947,8579,261981.5015,3889441.45,-119.611889,35.11972,m,33.5,93,NA,NA,NA,c(808781.06985445, 3891575.48810283)
22,4840,47397,0,NA,2018,above,shrub,255.9640045,8.7892704,767,0,0.0275668,0.234189,379645,8897,261981.5015,3889501.45,-119.611906,35.120261,f,28.94,97,intact,190,27,c(808777.475297376, 3891635.46707478)
13,4952,47729,0,NA,2018,above,shrub,240.5240021,9.3762503,768,0,0.0365685,0.232521,380503,9605,261981.5015,3889521.45,-119.611912,35.120441,m,36.69,113,intact,205,24,c(808776.247979256, 3891655.42204287)
25,13111,36108,0,NA,2018,below,shrub,206.5650024,3.1996,739,1.00E-07,0,0.260835,382338,6375,261961.5015,3888821.45,-119.61193,35.114131,m,35.5,105,intact,195,20,c(808798.452699099, 3890955.18075376)
760,13991,36440,0,NA,2017,below,shrub,173.6600037,3.23927,740,0,0.0006214,0.26278,382459,1601,261961.5015,3888841.45,-119.611936,35.114311,m,40,111,tail tipped,NA,NA,c(808797.225448583, 3890975.13571009)
s,1591,37104,0,NA,2016,above,shrub,150.9450073,3.6817801,742,0,0,0.252861,382220,4289,261961.5015,3888881.45,-119.611947,35.114671,f,29.5,96,NA,NA,NA,c(808794.862124113, 3891015.04872874)
30,1686,37436,0,NA,2018,above,shrub,165.9640045,2.95035,743,0,0,0.246975,382381,5258,261961.5015,3888901.45,-119.611953,35.114851,m,33.79,103,intact,212,7,c(808793.634871496, 3891035.00368607)
960,2079,38764,0,NA,2017,above,shrub,225,3.5404799,747,0,0.0002789,0.241665,382417,9795,261961.5015,3888981.45,-119.611976,35.115572,m,46.5,110,tail tipped,NA,NA,c(808788.813253312, 3891114.93758814)
19,21621,39096,0,NA,2018,below,open,225,2.5304899,748,0,0,0.239071,382315,5160,261961.5015,3889001.45,-119.611982,35.115752,m,36.65,105,tipped,207,13,c(808787.585997318, 3891134.89254716)
56,22541,39428,0,NA,2018,below,open,213.6900024,2.5805399,748,0,0,0.235767,382418,6910,261961.5015,3889021.45,-119.611987,35.115932,m,33.73,100,intact,210,9,c(808786.449917737, 3891154.85061151)
m,2941,41752,0,NA,2016,above,shrub,243.4349976,4.79318,754,0,0.0188137,0.240266,382021,3039,261961.5015,3889161.45,-119.612028,35.117193,m,NA,103,NA,NA,NA,c(808777.94649892, 3891294.64940579)
23,3781,44408,0,NA,2018,above,shrub,229.7640076,6.0753298,760,0,0.0383705,0.250285,382526,3749,261961.5015,3889321.45,-119.612074,35.118634,f,14.2,108,intact,191,21,c(808768.306953403, 3891454.40628599)
901,37811,44408,0,NA,2017,below,open,229.7640076,6.0753298,760,0,0.0383705,0.250285,382526,3749,261961.5015,3889321.45,-119.612074,35.118634,f,23.5,88,tail whole,NA,NA,c(808768.306953403, 3891454.40628599)
k,4951,47728,0,NA,2016,above,shrub,240.5240021,9.3762503,765,0,0.0371108,0.226896,380430,5368,261961.5015,3889521.45,-119.612131,35.120436,m,29,104,NA,NA,NA,c(808756.30020692, 3891654.18719241)
540,5061,48060,0,NA,2017,below,shrub,233.1300049,10.6197004,768,0,0.0428392,0.224698,380403,5529,261961.5015,3889541.45,-119.612137,35.120616,NA,NA,NA,NA,NA,NA,c(808755.072932392, 3891674.1421605)
64,1128,35443,0,NA,2018,above,shrub,239.0359955,2.0871301,736,4.46E-05,0.0025812,0.247957,381306,9192,261941.5015,3888781.45,-119.612138,35.113766,m,32.48,104,intact,190,8,c(808780.866608231, 3890914.03294535)
v,5173,48392,0,NA,2016,below,shrub,245.2250061,10.1470003,770,0,0.0679939,0.224103,379831,7900,261961.5015,3889561.45,-119.612143,35.120796,m,33.5,93,NA,NA,NA,c(808753.845657231, 3891694.09712894)
176,1685,37435,0,NA,2018,above,shrub,180,1.4321001,744,0,0.0001382,0.25297,382180,6317,261941.5015,3888901.45,-119.612172,35.114846,NA,NA,NA,NA,NA,NA,c(808773.685726249, 3891033.76889187)
960,16851,37435,0,NA,2017,below,open,180,1.4321001,744,0,0.0001382,0.25297,382180,6317,261941.5015,3888901.45,-119.612172,35.114846,m,46.5,110,tail tipped,NA,NA,c(808773.685726249, 3891033.76889187)
44,2078,38763,0,NA,2018,above,shrub,225,4.0446901,746,0,0,0.244684,382410,5204,261941.5015,3888981.45,-119.612195,35.115567,m,32.7,98,kinked,176,6,c(808768.864285173, 3891113.70279239)
l,20781,38763,0,NA,2016,below,open,225,4.0446901,746,0,0,0.244684,382410,5204,261941.5015,3888981.45,-119.612195,35.115567,uk,NA,NA,NA,NA,NA,c(808768.864285173, 3891113.70279239)
c,22531,39427,0,NA,2016,below,open,194.0359955,2.95035,748,0,0.0009252,0.239235,382741,3893,261941.5015,3889021.45,-119.612207,35.115927,m,42.5,107,NA,NA,NA,c(808766.409860985, 3891153.61271008)
47,23441,39759,0,NA,2018,below,open,191.3099976,1.82533,749,0,0.0153322,0.239141,382413,2723,261941.5015,3889041.45,-119.612212,35.116108,NA,NA,NA,NA,NA,NA,c(808765.27004616, 3891173.68173862)
13,2839,41419,0,NA,2018,above,shrub,232.125,4.0760598,752,2.50E-06,0.012337,0.231328,382465,8824,261941.5015,3889141.45,-119.612241,35.117008,m,36.69,113,intact,205,24,c(808759.225146231, 3891273.45964523)
99,3148,42415,0,NA,2018,above,shrub,286.3900146,6.3197699,753,1.10E-06,0.0453396,0.217612,378723,4628,261941.5015,3889201.45,-119.612258,35.117549,f,22.79,92,intact,178,3,c(808755.630889097, 3891333.43859956)
