,rep,uniID,status,year,x_utm,y_utm,long,lat,geometry,lizard.y,twenty_meter,ground_truth
2922,379,36346,1,2016,260081.5015,3888841.45,-119.632545,35.113865,c(806919.802051948, 3890861.85048841),0,0
2910,311,36055,1,2016,260901.5015,3888821.45,-119.62355,35.113879,c(807739.903078097, 3890891.19994826),8,10
2911,312,36057,1,2016,260941.5015,3888821.45,-119.623112,35.113889,c(807779.801810754, 3890893.66497654),16,17
2912,314,36058,1,2016,260961.5015,3888821.45,-119.622892,35.113894,c(807799.842354679, 3890894.90065187),48,44
2913,317,36059,1,2016,260981.5015,3888821.45,-119.622673,35.113898,c(807819.795485409, 3890896.02231274),10,10
2907,303,35766,1,2016,261761.5015,3888801.45,-119.614117,35.113903,c(808599.905154106, 3890923.09248304),8,8
2916,333,36067,1,2016,261141.5015,3888821.45,-119.620919,35.113936,c(807979.580261654, 3890905.66916764),2,2
2923,380,36375,1,2016,260661.5015,3888841.45,-119.626187,35.114003,c(807498.997642974, 3890896.80300507),7,7
2924,382,36377,1,2016,260701.5015,3888841.45,-119.625748,35.114012,c(807538.991249447, 3890899.15910069),5,5
2925,383,36378,1,2016,260721.5015,3888841.45,-119.625529,35.114017,c(807558.940580526, 3890900.39115075),6,6
2926,385,36382,1,2016,260801.5015,3888841.45,-119.624652,35.114036,c(807638.832838867, 3890905.21192236),12,13
2927,387,36387,1,2016,260901.5015,3888841.45,-119.623556,35.11406,c(807738.674407659, 3890911.2658508),30,33
2928,392,36389,1,2016,260941.5015,3888841.45,-119.623117,35.114069,c(807778.667996404, 3890913.62301053),12,13
2929,393,36390,1,2016,260961.5015,3888841.45,-119.622898,35.114074,c(807798.617317136, 3890914.85559149),7,8
2937,424,36712,1,2016,260761.5015,3888861.45,-119.625096,35.114207,c(807597.705823004, 3890922.813413),5,7
2939,455,36720,1,2016,260921.5015,3888861.45,-119.623342,35.114245,c(807757.489959016, 3890932.45637698),10,10
2940,459,36721,1,2016,260941.5015,3888861.45,-119.623123,35.114249,c(807777.443002451, 3890933.57795016),2,2
2947,481,37042,1,2016,260721.5015,3888881.45,-119.625541,35.114377,c(807556.491565824, 3890940.30102307),3,3
2948,482,37046,1,2016,260801.5015,3888881.45,-119.624664,35.114396,c(807636.383470082, 3890945.12179733),7,8
2949,485,37050,1,2016,260881.5015,3888881.45,-119.623787,35.114415,c(807716.275361534, 3890949.94328022),24,23
42,151,31415,0,2016,261061.5015,3888541.45,-119.621715,35.111395,c(807916.575427035, 3890621.24502772),0,0
73,263,32085,0,2018,261181.5015,3888581.45,-119.620411,35.111784,c(808034.010391172, 3890668.44784244),0,0
89,322,32411,0,2017,261061.5015,3888601.45,-119.621733,35.111936,c(807912.895909328, 3890681.22080236),0,0
90,327,32416,0,2016,261161.5015,3888601.45,-119.620636,35.111959,c(808012.835032495, 3890687.16971861),0,0
2780,32810,32417,0,2018,261181.5015,3888601.45,-119.620417,35.111964,c(808032.784874847, 3890688.40278167),0,0
41,147,31407,0,2016,260901.5015,3888541.45,-119.623469,35.111357,c(807756.785664297, 3890611.59963225),1,1
43,153,31417,0,2018,261101.5015,3888541.45,-119.621277,35.111405,c(807956.475384804, 3890623.71075331),1,1
2667,20610,31753,0,2018,261181.5015,3888561.45,-119.620406,35.111604,c(808035.144725248, 3890648.48980645),1,1
69,247,32067,0,2018,260821.5015,3888581.45,-119.624358,35.111699,c(807674.437561854, 3890646.79882679),1,1
87,318,32407,0,2018,260981.5015,3888601.45,-119.622609,35.111917,c(807833.092747633, 3890676.40084138),1,1
